tweet_text,reaction_text,tweet_type,reaction_num
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Islamophobia?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",This is the future of Europe. Thank you.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",I'm sure it has nothing to today with Islam.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",holy shit,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Mag firebombed in '11 re Mohammed cartoon row MT Ten killed in attack at Paris offices of Charlie Hebdo,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",This is not Islam (if they are muslims). This is the European stupidity. Thanks again.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",let me guess??? Something to do with Islam?? The religion of peace followed by the peaceful followers and advocates??,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Islamophobia is justified when 99% of terrorist attacks are carried out by people promoting islam,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Fuck political correctness. Violent ideologies have violent consequences. It's time we acknowledged the truth.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Faith is the excuse given for believing in things without sufficient evidence. It is irresponsible and dangerous.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","The end of the world is near,I foresee it",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",Don just assume,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",it has everything to do with Islam,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",how do you get these stats? Make them up?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",It's an observation. And obviously exagerated. But you can't deny that recent violence stems from Islam.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",That's nonsense. This is just a sign of extremist madmen.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",so ISLAMOFASCISM then ?,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",I'm no expert. I'm just pointing out the majority of recent violence comes from Islam,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",So it's a reasonable assumption to suggest islamic extremists are behind this,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",one doesn't need to be an expert to notice the obvious.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw","I didn't deny that, I just want people to be careful with spreading these kind of rumours",rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",No one should feel entitled to special treatment. Especially when they think irrational violence is acceptable.,rumours,59
"Ten people killed in attack at offices of satirical French magazine Charlie Hebdo, Paris prosecutors say http://t.co/czyz6voZTw",The West needs to wake up and understand Islam is at war with us,rumours,59
