tweet_text,compound_pos_ratio,compound_neu_ratio,compound_neg_ratio,compound_mean,max_compound_score,min_compound_score,median_compound_score,var,avg_pos_score,avg_neu_score,avg_neg_score,reaction_tweet_amount,tweet_type
Charlie Hebdo became well known for publishing the Muhammed cartoons two years ago,0.282,0.256,0.462,0.4200435897435898,0.807,-0.9169,0.4585,0.09842544143326763,0.098,0.736,0.166,39,non-rumours
Charlie Hebdo’s Last Tweet Before Shootings http://t.co/9Oa2xAqOcM http://t.co/skJHNEQcn0,0.375,0.125,0.500,0.492575,0.6996,-0.9022,0.5683,0.09289977687499999,0.155,0.670,0.175,8,non-rumours
Prediction: the #CharlieHebdo massacre will not dent the political class's complacency one iota,0.226,0.161,0.613,0.4299548387096774,0.9101,-0.899,0.4329,0.07816376570239333,0.105,0.690,0.204,31,non-rumours
"10:28am Charlie Hebdo account mocks ISIS leader, wishing him ""good health and best wishes"" http://t.co/9Oa2xAqOcM http://t.co/uYXayKLA7q",0.500,0.250,0.250,0.44545,0.7906,-0.5697,0.4956,0.08339147250000001,0.193,0.610,0.197,4,non-rumours
"If your faith isn't strong enough to cope with satirical poke, it oughtn't be strong enough to induce you to kill. Barbaric #CharlieHebdo",0.700,0.300,0.000,0.3403,0.8555,-0.0005,0.2989,0.098261868,0.208,0.733,0.059,10,non-rumours
Just arrived at scene of massacre #Paris #charliehebdo http://t.co/bxDwfuqRz8,0.625,0.375,0.000,0.27965,0.6705,0.0,0.3397,0.06446031249999999,0.216,0.784,0.000,16,non-rumours
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/lzQdhJ6kxR,0.400,0.400,0.200,0.25871,0.5709,-0.5848,0.25715,0.057370930900000006,0.107,0.692,0.202,10,non-rumours
Police car with bullet holes in front of Charlie hebdo headquarter. Photo  @WilliamMolinie http://t.co/k6inhBmGsf,0.167,0.333,0.500,0.3638333333333333,0.5106,-0.7506,0.3919,0.08753079222222222,0.099,0.723,0.179,6,non-rumours
Every newspaper in Europe should publish those cartoons from Charlie Hebdo tomorrow. Every single one.,0.409,0.364,0.227,0.31475909090909093,0.6369,-0.8316,0.3404,0.074633276053719,0.133,0.778,0.089,22,non-rumours
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/fkvhfJxPoO",0.352,0.204,0.444,0.39912037037037046,0.9287,-0.8625,0.43479999999999996,0.07249409402949242,0.132,0.707,0.161,108,non-rumours
'It's a massacre. There are dead!' employee of Charlie Hebdo tells French media outlet before call disconnects http://t.co/Q27XnP3AS3,0.400,0.200,0.400,0.33068,0.6588,-0.4767,0.34,0.05235248560000001,0.137,0.770,0.093,5,non-rumours
If religion — any religion — is off-limits for open debate we are in a very dangerous situation. #Freedomofexpression #CharlieHebdo,0.167,0.333,0.500,0.31505,0.5106,-0.8751,0.25229999999999997,0.10050737583333332,0.074,0.795,0.130,6,non-rumours
#CharlieHebdo published a cartoon of the notorious #ISIS leader last week (They've just tweeted the pic again). http://t.co/YYyxzNaFFb,0.143,0.214,0.643,0.4478642857142857,0.7351,-0.836,0.5836,0.10001775229591836,0.083,0.664,0.254,14,non-rumours
"The right to mock &amp; criticise religion is a key tenet of a free and democratic society, whether it be Islam or Christianity. #CharlieHebdo",0.296,0.222,0.481,0.4422962962962963,0.7964,-0.8908,0.5719,0.1123343529492456,0.108,0.686,0.206,27,non-rumours
French newspaper Charlie Hebdo's last tweet before gunmen attack http://t.co/vsjId0EWRk http://t.co/yJhgbhIXQ6,0.375,0.250,0.375,0.516225,0.9217,-0.8611,0.5488,0.11342794937499999,0.142,0.738,0.120,8,non-rumours
"Today's #CharlieHebdo cover on Houellebecq: ""In 2022 I'll observe Ramadan"" http://t.co/G7zbitA3Cj",0.500,0.250,0.250,0.33865,0.4215,-0.5719,0.39135,0.044115502499999994,0.244,0.578,0.178,4,non-rumours
#CharlieHebdo. That is all. http://t.co/9zzpYZcAJ8,0.412,0.353,0.235,0.2862470588235294,0.7964,-0.4767,0.296,0.06706898013840831,0.169,0.769,0.062,17,non-rumours
"If this cartoon is why #CharlieHebdo staff have been shot at, all publications should show solidarity and republish http://t.co/LGuUi7dj1u",0.167,0.611,0.222,0.19941111111111112,0.6369,-0.7892,0.0,0.08026502876543212,0.045,0.894,0.060,18,non-rumours
Solidarity with Charlie Hebdo. http://t.co/gvLp0NwLax,0.444,0.222,0.333,0.37868888888888885,0.5826,-0.8885,0.3182,0.0718337098765432,0.236,0.685,0.079,9,non-rumours
"Charlie Hebdo's Nov 2011 CHARIA HEBDO ""guest-edited"" by Muhammad:""100 lashes of the whip if you don't die laughing."" http://t.co/5EzG448CNm",0.154,0.462,0.385,0.24731538461538463,0.3182,-0.9287,0.1326,0.08654546284023669,0.053,0.760,0.187,13,non-rumours
"Charlie Hebdo's last cartoon on Twitter: Abu Bakr al-Baghdadi saying ""and especially, health!"" (New Year's greeting) http://t.co/UMEWDeR6z4",0.200,0.400,0.400,0.34192,0.7269,-0.5423,0.4404,0.0863757256,0.064,0.830,0.106,5,non-rumours
"Jews, Catholics, Muslims, white people, black people. Everyone attacked by Charlie Hebdo, yet who reacts like this? http://t.co/gG5ZCJK9Ac",0.273,0.364,0.364,0.3508545454545455,0.6219,-0.885,0.3182,0.1062109097520661,0.135,0.719,0.147,11,non-rumours
"If the #CharlieHebdo killings are what many think they are, there are dark days ahead for #France and Europe. Everyone will lose.",0.000,0.000,1.000,0.4759,-0.4019,-0.5499,0.4759,0.005476000000000005,0.064,0.666,0.269,2,non-rumours
"""Love Stronger Than Hate."" All our thoughts with #CharlieHebdo http://t.co/BqRLXRZdJT",0.417,0.167,0.417,0.428225,0.5171,-0.802,0.4491,0.06705431020833334,0.255,0.567,0.178,12,non-rumours
